Connecting to host 10.0.0.2, port 2222
[  7] local 10.0.0.4 port 48248 connected to 10.0.0.2 port 2222
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.00   sec  1.02 MBytes  8.55 Mbits/sec    0   28.3 KBytes       
[  7]   1.00-2.24   sec   255 KBytes  1.68 Mbits/sec    0   21.2 KBytes       
[  7]   2.24-3.06   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  7]   3.06-4.00   sec   255 KBytes  2.22 Mbits/sec    0   11.3 KBytes       
[  7]   4.00-5.32   sec   255 KBytes  1.58 Mbits/sec    0   18.4 KBytes       
[  7]   5.32-6.34   sec   255 KBytes  2.04 Mbits/sec    0   12.7 KBytes       
[  7]   6.34-7.01   sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  7]   7.01-8.18   sec   509 KBytes  3.56 Mbits/sec    1   22.6 KBytes       
[  7]   8.18-9.00   sec   255 KBytes  2.54 Mbits/sec    0   18.4 KBytes       
[  7]   9.00-10.00  sec   255 KBytes  2.08 Mbits/sec    0   15.6 KBytes       
[  7]  10.00-11.01  sec   509 KBytes  4.15 Mbits/sec    0   15.6 KBytes       
[  7]  11.01-12.28  sec   509 KBytes  3.28 Mbits/sec    0   14.1 KBytes       
[  7]  12.28-13.01  sec   509 KBytes  5.73 Mbits/sec    0   15.6 KBytes       
[  7]  13.01-14.12  sec   255 KBytes  1.87 Mbits/sec    0   15.6 KBytes       
[  7]  14.12-15.00  sec   509 KBytes  4.75 Mbits/sec    0   19.8 KBytes       
[  7]  15.00-16.00  sec   255 KBytes  2.08 Mbits/sec    0   17.0 KBytes       
[  7]  16.00-17.01  sec   255 KBytes  2.08 Mbits/sec    0   14.1 KBytes       
[  7]  17.01-18.01  sec   255 KBytes  2.09 Mbits/sec    0   15.6 KBytes       
[  7]  18.01-19.00  sec   255 KBytes  2.09 Mbits/sec    0   24.0 KBytes       
[  7]  19.00-20.01  sec   255 KBytes  2.07 Mbits/sec    0   18.4 KBytes       
[  7]  20.01-21.01  sec   255 KBytes  2.09 Mbits/sec    0   19.8 KBytes       
[  7]  21.01-22.00  sec   255 KBytes  2.09 Mbits/sec    0   12.7 KBytes       
[  7]  22.00-23.01  sec   255 KBytes  2.08 Mbits/sec    0   9.90 KBytes       
[  7]  23.01-24.00  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  7]  24.00-25.00  sec   255 KBytes  2.08 Mbits/sec    0   8.48 KBytes       
[  7]  25.00-26.00  sec   255 KBytes  2.09 Mbits/sec    0   14.1 KBytes       
[  7]  26.00-27.01  sec   255 KBytes  2.07 Mbits/sec    0   14.1 KBytes       
