Connecting to host 10.0.0.1, port 1111
[  7] local 10.0.0.3 port 50112 connected to 10.0.0.1 port 1111
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]  67.01-68.01  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  68.01-69.08  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  69.08-70.03  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  70.03-71.34  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  71.34-72.35  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  72.35-73.08  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  73.08-74.31  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  74.31-75.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  75.00-76.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  76.00-77.02  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  77.02-78.01  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  78.01-79.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  79.00-80.05  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  80.05-81.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  81.00-82.01  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  82.01-83.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  83.00-84.01  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  84.01-85.02  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  85.02-86.01  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  86.01-87.34  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  87.34-88.03  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  88.03-89.01  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  89.01-90.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  90.00-91.01  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  91.01-92.34  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  92.34-93.15  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  93.15-94.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  94.00-95.01  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  95.01-96.35  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  96.35-97.25  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  97.25-98.27  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  7]  98.27-99.09  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
   1.41 KBytes       
