Connecting to host 10.0.0.2, port 2222
[  7] local 10.0.0.4 port 34116 connected to 10.0.0.2 port 2222
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.02   sec   226 KBytes  1.82 Mbits/sec    3   31.1 KBytes       
[  7]   1.02-2.00   sec   615 KBytes  5.11 Mbits/sec    0   83.4 KBytes       
[  7]   2.00-3.00   sec   191 KBytes  1.57 Mbits/sec    0   83.4 KBytes       
[  7]   3.00-4.00   sec   191 KBytes  1.56 Mbits/sec    0   83.4 KBytes       
[  7]   4.00-5.00   sec  0.00 Bytes  0.00 Mbits/sec    0   83.4 KBytes       
[  7]   5.00-6.00   sec  0.00 Bytes  0.00 Mbits/sec    0   83.4 KBytes       
[  7]   6.00-7.00   sec   191 KBytes  1.57 Mbits/sec    0   83.4 KBytes       
[  7]   7.00-8.08   sec  0.00 Bytes  0.00 Mbits/sec    0   83.4 KBytes       
[  7]   8.08-9.01   sec   191 KBytes  1.69 Mbits/sec    0   83.4 KBytes       
[  7]   9.01-10.01  sec   191 KBytes  1.56 Mbits/sec    0   83.4 KBytes       
[  7]  10.01-11.00  sec   382 KBytes  3.15 Mbits/sec    0    110 KBytes       
[  7]  11.00-12.01  sec   255 KBytes  2.08 Mbits/sec    0    119 KBytes       
[  7]  12.01-13.01  sec  0.00 Bytes  0.00 Mbits/sec    0    119 KBytes       
[  7]  13.01-14.01  sec  0.00 Bytes  0.00 Mbits/sec    0    119 KBytes       
[  7]  14.01-15.00  sec   255 KBytes  2.10 Mbits/sec    0    119 KBytes       
[  7]  15.00-16.28  sec  0.00 Bytes  0.00 Mbits/sec    0    119 KBytes       
[  7]  16.28-17.01  sec   255 KBytes  2.87 Mbits/sec    0    130 KBytes       
[  7]  17.01-18.00  sec   318 KBytes  2.61 Mbits/sec    0    154 KBytes       
[  7]  18.00-19.00  sec  1.06 MBytes  8.89 Mbits/sec    0    362 KBytes       
[  7]  19.00-20.00  sec   764 KBytes  6.23 Mbits/sec    0    362 KBytes       
[  7]  20.00-21.00  sec   764 KBytes  6.28 Mbits/sec    0    362 KBytes       
[  7]  21.00-22.00  sec  0.00 Bytes  0.00 Mbits/sec    0    362 KBytes       
[  7]  22.00-23.00  sec  1.49 MBytes  12.5 Mbits/sec    0    181 KBytes       
[  7]  23.00-24.88  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  24.88-25.01  sec   764 KBytes  49.2 Mbits/sec    0    181 KBytes       
[  7]  25.01-26.01  sec   764 KBytes  6.22 Mbits/sec    0    181 KBytes       
[  7]  26.01-27.04  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  27.04-28.00  sec   764 KBytes  6.51 Mbits/sec    0    181 KBytes       
[  7]  28.00-29.18  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  29.18-30.00  sec   764 KBytes  7.60 Mbits/sec    0    181 KBytes       
[  7]  30.00-31.00  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  31.00-32.00  sec   764 KBytes  6.28 Mbits/sec    0    181 KBytes       
[  7]  32.00-33.00  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  33.00-34.00  sec   764 KBytes  6.24 Mbits/sec    0    181 KBytes       
[  7]  34.00-35.00  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  35.00-36.00  sec   764 KBytes  6.27 Mbits/sec    0    181 KBytes       
[  7]  36.00-37.00  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  37.00-38.00  sec   764 KBytes  6.24 Mbits/sec    0    181 KBytes       
[  7]  38.00-39.00  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  39.00-40.01  sec   764 KBytes  6.22 Mbits/sec    0    181 KBytes       
[  7]  40.01-41.00  sec   764 KBytes  6.28 Mbits/sec    0    181 KBytes       
[  7]  41.00-42.00  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  42.00-43.00  sec  1.49 MBytes  12.5 Mbits/sec    0    181 KBytes       
[  7]  43.00-44.00  sec   764 KBytes  6.25 Mbits/sec    0    181 KBytes       
[  7]  44.00-45.00  sec  2.92 MBytes  24.6 Mbits/sec    0    181 KBytes       
[  7]  45.00-46.00  sec   764 KBytes  6.25 Mbits/sec    0    181 KBytes       
[  7]  46.00-47.02  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  47.02-48.00  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  48.00-49.00  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  49.00-50.00  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  50.00-51.00  sec  1.49 MBytes  12.5 Mbits/sec    0    181 KBytes       
[  7]  51.00-52.01  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  52.01-53.00  sec   764 KBytes  6.32 Mbits/sec    2    181 KBytes       
[  7]  53.00-54.01  sec   764 KBytes  6.22 Mbits/sec    4    181 KBytes       
[  7]  54.01-55.00  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  55.00-56.00  sec   764 KBytes  6.24 Mbits/sec    0    181 KBytes       
[  7]  56.00-57.00  sec  0.00 Bytes  0.00 Mbits/sec    0    181 KBytes       
[  7]  57.00-58.05  sec   764 KBytes  5.96 Mbits/sec    0    181 KBytes       
