Connecting to host 10.0.0.1, port 1111
[  7] local 10.0.0.3 port 34124 connected to 10.0.0.1 port 1111
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.63   sec   287 KBytes  1.44 Mbits/sec    0   42.4 KBytes       
[  7]   1.63-2.04   sec  1.09 MBytes  22.4 Mbits/sec    0    187 KBytes       
[  7]   2.04-3.47   sec  0.00 Bytes  0.00 Mbits/sec    0    187 KBytes       
[  7]   3.47-4.70   sec  0.00 Bytes  0.00 Mbits/sec    0    187 KBytes       
[  7]   4.70-5.51   sec  0.00 Bytes  0.00 Mbits/sec    0    187 KBytes       
[  7]   5.51-6.54   sec  0.00 Bytes  0.00 Mbits/sec    0    187 KBytes       
[  7]   6.54-7.16   sec   382 KBytes  5.08 Mbits/sec    0    187 KBytes       
[  7]   7.16-8.63   sec   636 KBytes  3.53 Mbits/sec    0    246 KBytes       
[  7]   8.63-9.41   sec  0.00 Bytes  0.00 Mbits/sec    0    246 KBytes       
[  7]   9.41-10.43  sec  0.00 Bytes  0.00 Mbits/sec    0    246 KBytes       
[  7]  10.43-11.66  sec  0.00 Bytes  0.00 Mbits/sec    2    246 KBytes       
[  7]  11.66-12.07  sec  0.00 Bytes  0.00 Mbits/sec    0    246 KBytes       
[  7]  12.07-13.10  sec   509 KBytes  4.06 Mbits/sec    0    246 KBytes       
[  7]  13.10-14.12  sec  0.00 Bytes  0.00 Mbits/sec    0    246 KBytes       
[  7]  14.12-15.15  sec  0.00 Bytes  0.00 Mbits/sec    0    246 KBytes       
[  7]  15.15-16.15  sec  0.00 Bytes  0.00 Mbits/sec    0    246 KBytes       
[  7]  16.15-17.19  sec  0.00 Bytes  0.00 Mbits/sec    0    246 KBytes       
[  7]  17.19-18.01  sec  0.00 Bytes  0.00 Mbits/sec    0    246 KBytes       
[  7]  18.01-19.24  sec   509 KBytes  3.39 Mbits/sec    0    246 KBytes       
[  7]  19.24-20.06  sec  0.00 Bytes  0.00 Mbits/sec    0    246 KBytes       
[  7]  20.06-21.08  sec  0.00 Bytes  0.00 Mbits/sec    0    246 KBytes       
[  7]  21.08-22.11  sec  0.00 Bytes  0.00 Mbits/sec    0    246 KBytes       
[  7]  22.11-23.33  sec  0.00 Bytes  0.00 Mbits/sec    0    246 KBytes       
[  7]  23.33-24.15  sec   509 KBytes  5.09 Mbits/sec    1    246 KBytes       
[  7]  24.15-25.00  sec  0.00 Bytes  0.00 Mbits/sec    0    246 KBytes       
[  7]  25.00-26.03  sec  1.06 MBytes  8.62 Mbits/sec    0    274 KBytes       
[  7]  26.03-27.02  sec  1.24 MBytes  10.5 Mbits/sec    0    338 KBytes       
[  7]  27.02-28.46  sec  0.00 Bytes  0.00 Mbits/sec    5    338 KBytes       
[  7]  28.46-29.01  sec   700 KBytes  10.3 Mbits/sec    0    338 KBytes       
[  7]  29.01-30.30  sec   700 KBytes  4.45 Mbits/sec    0    338 KBytes       
[  7]  30.30-31.32  sec  0.00 Bytes  0.00 Mbits/sec    0    338 KBytes       
[  7]  31.32-32.35  sec   700 KBytes  5.59 Mbits/sec    0    338 KBytes       
[  7]  32.35-33.00  sec  13.3 MBytes   171 Mbits/sec    0    643 KBytes       
[  7]  33.00-34.00  sec  21.2 MBytes   178 Mbits/sec    0    771 KBytes       
[  7]  34.00-35.00  sec  5.00 MBytes  41.9 Mbits/sec    0    771 KBytes       
[  7]  35.00-36.00  sec  21.2 MBytes   179 Mbits/sec    0   1.13 MBytes       
[  7]  36.00-37.00  sec  23.8 MBytes   199 Mbits/sec    0   1.13 MBytes       
[  7]  37.00-38.00  sec  21.2 MBytes   178 Mbits/sec    0   1.13 MBytes       
[  7]  38.00-39.00  sec  20.0 MBytes   168 Mbits/sec    0   1.13 MBytes       
[  7]  39.00-40.00  sec  22.5 MBytes   189 Mbits/sec    0   1.13 MBytes       
[  7]  40.00-41.00  sec  20.0 MBytes   168 Mbits/sec    0   1.13 MBytes       
[  7]  41.00-42.00  sec  21.2 MBytes   179 Mbits/sec    0   1.13 MBytes       
[  7]  42.00-43.00  sec  21.2 MBytes   178 Mbits/sec    0   1.13 MBytes       
[  7]  43.00-44.00  sec  22.5 MBytes   189 Mbits/sec    0   1.13 MBytes       
[  7]  44.00-45.00  sec  22.5 MBytes   189 Mbits/sec    0   1.13 MBytes       
[  7]  45.00-46.00  sec  22.5 MBytes   189 Mbits/sec    0   1.13 MBytes       
[  7]  46.00-47.00  sec  23.8 MBytes   199 Mbits/sec    0   1.13 MBytes       
[  7]  47.00-48.00  sec  22.5 MBytes   189 Mbits/sec    0   1.13 MBytes       
[  7]  48.00-49.00  sec  10.0 MBytes  83.9 Mbits/sec    0   1.13 MBytes       
[  7]  49.00-50.00  sec  23.8 MBytes   199 Mbits/sec    0   1.13 MBytes       
[  7]  50.00-51.80  sec  15.0 MBytes  69.8 Mbits/sec    0   1.13 MBytes       
[  7]  51.80-52.22  sec  0.00 Bytes  0.00 Mbits/sec    0   1.13 MBytes       
[  7]  52.22-53.00  sec  12.5 MBytes   135 Mbits/sec   35   1.13 MBytes       
[  7]  53.00-54.00  sec  22.5 MBytes   189 Mbits/sec    0   1.13 MBytes       
[  7]  54.00-55.00  sec  22.5 MBytes   189 Mbits/sec    0   1.13 MBytes       
[  7]  55.00-56.47  sec  6.25 MBytes  35.7 Mbits/sec    0   1.13 MBytes       
[  7]  56.47-57.02  sec  1.25 MBytes  19.0 Mbits/sec    0   1.13 MBytes       
[  7]  57.02-58.56  sec  0.00 Bytes  0.00 Mbits/sec    0   1.13 MBytes       
[  7]  58.56-59.79  sec  0.00 Bytes  0.00 Mbits/sec    0   1.13 MBytes       
[  7]  59.79-60.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.13 MBytes       
[  7]  60.00-61.01  sec  7.50 MBytes  62.0 Mbits/sec    0   1.13 MBytes       
[  7]  61.01-62.00  sec  8.75 MBytes  74.4 Mbits/sec    0   1.13 MBytes       
[  7]  62.00-63.00  sec  6.25 MBytes  52.3 Mbits/sec    0   1.13 MBytes       
[  7]  63.00-64.00  sec  6.25 MBytes  52.6 Mbits/sec    0   1.13 MBytes       
[  7]  64.00-65.00  sec  11.2 MBytes  94.3 Mbits/sec    0   1.68 MBytes       
[  7]  65.00-66.05  sec  2.50 MBytes  20.0 Mbits/sec    0   1.75 MBytes       
[  7]  66.05-67.06  sec  0.00 Bytes  0.00 Mbits/sec    0   1.75 MBytes       
[  7]  67.06-68.01  sec  1.25 MBytes  11.0 Mbits/sec    0   1.75 MBytes       
[  7]  68.01-69.00  sec  3.75 MBytes  31.8 Mbits/sec    0   1.75 MBytes       
[  7]  69.00-70.00  sec  10.0 MBytes  83.9 Mbits/sec    0   2.26 MBytes       
[  7]  70.00-71.00  sec  12.5 MBytes   105 Mbits/sec    0   2.26 MBytes       
[  7]  71.00-72.00  sec  12.5 MBytes   105 Mbits/sec    0   2.26 MBytes       
[  7]  72.00-73.00  sec  18.8 MBytes   158 Mbits/sec    0   2.26 MBytes       
