Connecting to host 10.0.0.2, port 2222
[  7] local 10.0.0.4 port 34304 connected to 10.0.0.2 port 2222
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.13   sec   597 KBytes  4.33 Mbits/sec    0   87.7 KBytes       
[  7]   1.13-2.15   sec   191 KBytes  1.53 Mbits/sec    0   87.7 KBytes       
[  7]   2.15-3.18   sec   191 KBytes  1.52 Mbits/sec    0   87.7 KBytes       
[  7]   3.18-4.21   sec   255 KBytes  2.04 Mbits/sec    2   87.7 KBytes       
[  7]   4.21-5.23   sec   191 KBytes  1.53 Mbits/sec    0   87.7 KBytes       
[  7]   5.23-6.26   sec   191 KBytes  1.53 Mbits/sec    0   87.7 KBytes       
[  7]   6.26-7.28   sec  0.00 Bytes  0.00 Mbits/sec    0   87.7 KBytes       
[  7]   7.28-8.31   sec  0.00 Bytes  0.00 Mbits/sec    0   87.7 KBytes       
[  7]   8.31-9.13   sec  0.00 Bytes  0.00 Mbits/sec    0   87.7 KBytes       
[  7]   9.13-10.16  sec   255 KBytes  2.02 Mbits/sec    0   87.7 KBytes       
[  7]  10.16-11.18  sec  0.00 Bytes  0.00 Mbits/sec    0   87.7 KBytes       
[  7]  11.18-12.61  sec  0.00 Bytes  0.00 Mbits/sec    0   87.7 KBytes       
[  7]  12.61-13.72  sec  0.00 Bytes  0.00 Mbits/sec    0   87.7 KBytes       
[  7]  13.72-14.25  sec  0.00 Bytes  0.00 Mbits/sec    0   87.7 KBytes       
[  7]  14.25-15.68  sec   191 KBytes  1.09 Mbits/sec    0   87.7 KBytes       
[  7]  15.68-16.70  sec  0.00 Bytes  0.00 Mbits/sec    0   87.7 KBytes       
[  7]  16.70-17.73  sec  0.00 Bytes  0.00 Mbits/sec    0   87.7 KBytes       
[  7]  17.73-18.35  sec   255 KBytes  3.36 Mbits/sec    0   87.7 KBytes       
[  7]  18.35-19.16  sec  0.00 Bytes  0.00 Mbits/sec    0   87.7 KBytes       
[  7]  19.16-20.60  sec   191 KBytes  1.09 Mbits/sec    0   87.7 KBytes       
[  7]  20.60-21.00  sec   191 KBytes  3.84 Mbits/sec    0   87.7 KBytes       
[  7]  21.00-22.03  sec  0.00 Bytes  0.00 Mbits/sec    0   87.7 KBytes       
[  7]  22.03-23.05  sec  0.00 Bytes  0.00 Mbits/sec    0   87.7 KBytes       
[  7]  23.05-24.08  sec   191 KBytes  1.53 Mbits/sec    2   87.7 KBytes       
[  7]  24.08-25.10  sec  0.00 Bytes  0.00 Mbits/sec    0   87.7 KBytes       
[  7]  25.10-26.12  sec   191 KBytes  1.53 Mbits/sec    0   87.7 KBytes       
[  7]  26.12-27.15  sec  0.00 Bytes  0.00 Mbits/sec    0   87.7 KBytes       
[  7]  27.15-28.18  sec   191 KBytes  1.51 Mbits/sec    0   87.7 KBytes       
[  7]  28.18-29.20  sec  2.49 MBytes  20.6 Mbits/sec    0    386 KBytes       
[  7]  29.20-30.02  sec  0.00 Bytes  0.00 Mbits/sec    0    386 KBytes       
[  7]  30.02-31.04  sec  0.00 Bytes  0.00 Mbits/sec    0    386 KBytes       
[  7]  31.04-32.27  sec  1.55 MBytes  10.6 Mbits/sec    0    386 KBytes       
[  7]  32.27-33.29  sec  0.00 Bytes  0.00 Mbits/sec    0    386 KBytes       
[  7]  33.29-34.12  sec   827 KBytes  8.20 Mbits/sec    0    386 KBytes       
[  7]  34.12-35.71  sec  1.86 MBytes  9.79 Mbits/sec    0    488 KBytes       
[  7]  35.71-36.57  sec  0.00 Bytes  0.00 Mbits/sec    0    488 KBytes       
[  7]  36.57-37.59  sec  1018 KBytes  8.14 Mbits/sec    0    488 KBytes       
[  7]  37.59-38.22  sec  0.00 Bytes  0.00 Mbits/sec    0    488 KBytes       
[  7]  38.22-39.23  sec  0.00 Bytes  0.00 Mbits/sec    0    488 KBytes       
[  7]  39.23-40.00  sec  2.05 MBytes  22.3 Mbits/sec    0    525 KBytes       
[  7]  40.00-41.28  sec  2.11 MBytes  13.9 Mbits/sec    0    525 KBytes       
[  7]  41.28-42.51  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  42.51-43.20  sec  1.06 MBytes  12.7 Mbits/sec    0    525 KBytes       
[  7]  43.20-44.15  sec  1.06 MBytes  9.38 Mbits/sec    0    525 KBytes       
[  7]  44.15-45.29  sec  2.11 MBytes  15.6 Mbits/sec    0    525 KBytes       
[  7]  45.29-46.02  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  46.02-47.72  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  47.72-48.04  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  48.04-49.06  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  49.06-50.09  sec  1.06 MBytes  8.65 Mbits/sec    0    525 KBytes       
[  7]  50.09-51.11  sec  1.12 MBytes  9.15 Mbits/sec    0    525 KBytes       
[  7]  51.11-52.54  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  52.54-53.16  sec  1.12 MBytes  15.3 Mbits/sec    0    525 KBytes       
[  7]  53.16-54.01  sec  2.11 MBytes  20.9 Mbits/sec    0    525 KBytes       
[  7]  54.01-55.20  sec  2.11 MBytes  14.8 Mbits/sec    0    525 KBytes       
[  7]  55.20-56.23  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  56.23-57.00  sec  2.11 MBytes  22.9 Mbits/sec    0    525 KBytes       
[  7]  57.00-58.01  sec  2.11 MBytes  17.6 Mbits/sec    0    525 KBytes       
[  7]  58.01-59.10  sec  1.06 MBytes  8.16 Mbits/sec    0    525 KBytes       
[  7]  59.10-60.32  sec  1.06 MBytes  7.21 Mbits/sec    0    525 KBytes       
[  7]  60.32-61.02  sec  1.06 MBytes  12.7 Mbits/sec    0    525 KBytes       
[  7]  61.02-62.58  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  62.58-63.14  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  63.14-64.00  sec  1.06 MBytes  10.3 Mbits/sec    0    525 KBytes       
[  7]  64.00-65.05  sec  1.06 MBytes  8.46 Mbits/sec    0    525 KBytes       
[  7]  65.05-66.00  sec  1.06 MBytes  9.30 Mbits/sec    0    525 KBytes       
[  7]  66.00-67.30  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  67.30-68.31  sec  1.06 MBytes  8.74 Mbits/sec    0    525 KBytes       
[  7]  68.31-69.13  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  69.13-70.15  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  70.15-71.18  sec  1.06 MBytes  8.65 Mbits/sec    0    525 KBytes       
[  7]  71.18-72.01  sec  1.06 MBytes  10.7 Mbits/sec    0    525 KBytes       
[  7]  72.01-73.02  sec  1.06 MBytes  8.73 Mbits/sec    1    525 KBytes       
[  7]  73.02-74.46  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  74.46-75.08  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  75.08-76.10  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  76.10-77.71  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  77.71-78.00  sec  1.06 MBytes  30.4 Mbits/sec    0    525 KBytes       
[  7]  78.00-79.17  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  79.17-80.19  sec  1.06 MBytes  8.64 Mbits/sec    0    525 KBytes       
[  7]  80.19-81.21  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  81.21-82.24  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  82.24-83.00  sec  1.06 MBytes  11.6 Mbits/sec    0    525 KBytes       
[  7]  83.00-84.00  sec  1.06 MBytes  8.87 Mbits/sec    0    525 KBytes       
[  7]  84.00-85.00  sec  1.06 MBytes  8.87 Mbits/sec    0    525 KBytes       
[  7]  85.00-86.33  sec  0.00 Bytes  0.00 Mbits/sec    0    525 KBytes       
[  7]  86.33-87.01  sec  1.06 MBytes  13.1 Mbits/sec    0    525 KBytes       
