Connecting to host 10.0.0.1, port 1111
[  7] local 10.0.0.3 port 44172 connected to 10.0.0.1 port 1111
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.18   sec   600 KBytes  4.16 Mbits/sec    0   29.7 KBytes       
[  7]   1.18-2.18   sec  0.00 Bytes  0.00 Mbits/sec    0   22.6 KBytes       
[  7]   2.18-3.04   sec   127 KBytes  1.22 Mbits/sec    0   19.8 KBytes       
[  7]   3.04-4.07   sec   127 KBytes  1.01 Mbits/sec    0   14.1 KBytes       
[  7]   4.07-5.18   sec   382 KBytes  2.81 Mbits/sec    0   11.3 KBytes       
[  7]   5.18-6.00   sec   509 KBytes  5.08 Mbits/sec    0   11.3 KBytes       
[  7]   6.00-7.18   sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  7]   7.18-8.16   sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  7]   8.16-9.19   sec   255 KBytes  2.02 Mbits/sec    2   9.90 KBytes       
[  7]   9.19-10.00  sec   255 KBytes  2.57 Mbits/sec    2   11.3 KBytes       
[  7]  10.00-11.19  sec   255 KBytes  1.76 Mbits/sec    0   8.48 KBytes       
[  7]  11.19-12.18  sec   127 KBytes  1.05 Mbits/sec    0   8.48 KBytes       
[  7]  12.18-13.07  sec   255 KBytes  2.33 Mbits/sec    0   15.6 KBytes       
[  7]  13.07-14.19  sec   255 KBytes  1.87 Mbits/sec    0   12.7 KBytes       
[  7]  14.19-15.18  sec   127 KBytes  1.05 Mbits/sec    0   9.90 KBytes       
[  7]  15.18-16.18  sec   255 KBytes  2.08 Mbits/sec    0   11.3 KBytes       
[  7]  16.18-17.19  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  7]  17.19-18.18  sec   127 KBytes  1.05 Mbits/sec    0   8.48 KBytes       
[  7]  18.18-19.01  sec   382 KBytes  3.77 Mbits/sec    0   14.1 KBytes       
[  7]  19.01-20.02  sec  0.00 Bytes  0.00 Mbits/sec    0   17.0 KBytes       
[  7]  20.02-21.06  sec   127 KBytes  1.00 Mbits/sec    0   21.2 KBytes       
[  7]  21.06-22.19  sec   127 KBytes  0.92 Mbits/sec    0   12.7 KBytes       
[  7]  22.19-23.11  sec   127 KBytes  1.13 Mbits/sec    0   9.90 KBytes       
[  7]  23.11-24.04  sec   509 KBytes  4.46 Mbits/sec    2   12.7 KBytes       
[  7]  24.04-25.19  sec  1.12 MBytes  8.16 Mbits/sec    0   15.6 KBytes       
[  7]  25.19-26.19  sec   255 KBytes  2.10 Mbits/sec    0   17.0 KBytes       
[  7]  26.19-27.00  sec   255 KBytes  2.56 Mbits/sec    4   9.90 KBytes       
[  7]  27.00-28.02  sec   127 KBytes  1.02 Mbits/sec    0   12.7 KBytes       
[  7]  28.02-29.05  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  7]  29.05-30.07  sec   127 KBytes  1.02 Mbits/sec    0   11.3 KBytes       
[  7]  30.07-31.18  sec   255 KBytes  1.89 Mbits/sec    0   7.07 KBytes       
[  7]  31.18-32.18  sec   127 KBytes  1.04 Mbits/sec    0   11.3 KBytes       
[  7]  32.18-33.35  sec  0.00 Bytes  0.00 Mbits/sec    0   7.07 KBytes       
[  7]  33.35-34.37  sec   127 KBytes  1.02 Mbits/sec    0   9.90 KBytes       
[  7]  34.37-35.18  sec   127 KBytes  1.29 Mbits/sec    0   14.1 KBytes       
[  7]  35.18-36.21  sec   127 KBytes  1.01 Mbits/sec    0   9.90 KBytes       
[  7]  36.21-37.19  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  7]  37.19-39.18  sec   127 KBytes  0.52 Mbits/sec    0   9.90 KBytes       
[  7]  39.18-40.11  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  7]  40.11-42.18  sec   127 KBytes  0.50 Mbits/sec    0   8.48 KBytes       
[  7]  42.18-43.18  sec   127 KBytes  1.04 Mbits/sec    0   12.7 KBytes       
[  7]  43.18-44.00  sec   127 KBytes  1.27 Mbits/sec    0   12.7 KBytes       
[  7]  44.00-45.02  sec   509 KBytes  4.08 Mbits/sec    3   19.8 KBytes       
[  7]  45.02-46.18  sec   891 KBytes  6.31 Mbits/sec    1   14.1 KBytes       
[  7]  46.18-47.18  sec   127 KBytes  1.04 Mbits/sec    0   14.1 KBytes       
[  7]  47.18-48.10  sec   382 KBytes  3.43 Mbits/sec    2   14.1 KBytes       
[  7]  48.10-49.01  sec   255 KBytes  2.29 Mbits/sec    0   12.7 KBytes       
[  7]  49.01-50.35  sec   382 KBytes  2.33 Mbits/sec    3   12.7 KBytes       
[  7]  50.35-51.01  sec   509 KBytes  6.33 Mbits/sec    4   17.0 KBytes       
[  7]  51.01-52.00  sec   382 KBytes  3.14 Mbits/sec    0   17.0 KBytes       
[  7]  52.00-53.00  sec   636 KBytes  5.19 Mbits/sec    0   18.4 KBytes       
[  7]  53.00-54.04  sec   382 KBytes  3.02 Mbits/sec    0   22.6 KBytes       
[  7]  54.04-55.03  sec   382 KBytes  3.18 Mbits/sec    1   18.4 KBytes       
[  7]  55.03-56.18  sec   764 KBytes  5.44 Mbits/sec    0   19.8 KBytes       
[  7]  56.18-57.11  sec   255 KBytes  2.23 Mbits/sec    0   21.2 KBytes       
[  7]  57.11-58.18  sec   127 KBytes  0.97 Mbits/sec    1   1.41 KBytes       
[  7]  58.18-59.15  sec   127 KBytes  1.07 Mbits/sec    0   21.2 KBytes       
[  7]  59.15-61.17  sec   127 KBytes  0.52 Mbits/sec    0   22.6 KBytes       
[  7]  61.17-62.18  sec   127 KBytes  1.03 Mbits/sec    0   24.0 KBytes       
[  7]  62.18-63.04  sec   127 KBytes  1.21 Mbits/sec    0   19.8 KBytes       
[  7]  63.04-64.07  sec   127 KBytes  1.02 Mbits/sec    0   17.0 KBytes       
[  7]  64.07-65.17  sec  0.00 Bytes  0.00 Mbits/sec    0   15.6 KBytes       
[  7]  65.17-66.73  sec   255 KBytes  1.34 Mbits/sec    0   21.2 KBytes       
[  7]  66.73-67.18  sec   127 KBytes  2.33 Mbits/sec    0   19.8 KBytes       
[  7]  67.18-68.18  sec  0.00 Bytes  0.00 Mbits/sec    1   12.7 KBytes       
[  7]  68.18-69.17  sec   127 KBytes  1.05 Mbits/sec    0   14.1 KBytes       
[  7]  69.17-70.01  sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  7]  70.01-71.18  sec   127 KBytes  0.89 Mbits/sec    0   11.3 KBytes       
[  7]  71.18-72.17  sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  7]  72.17-73.08  sec   127 KBytes  1.15 Mbits/sec    0   4.24 KBytes       
[  7]  73.08-74.10  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  7]  74.10-75.18  sec   127 KBytes  0.97 Mbits/sec    0   11.3 KBytes       
[  7]  75.18-76.18  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  7]  76.18-77.17  sec   127 KBytes  1.05 Mbits/sec    0   14.1 KBytes       
[  7]  77.17-78.17  sec  0.00 Bytes  0.00 Mbits/sec    0   11.3 KBytes       
[  7]  78.17-79.18  sec   127 KBytes  1.04 Mbits/sec    0   7.07 KBytes       
[  7]  79.18-80.04  sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  7]  80.04-81.00  sec   255 KBytes  2.18 Mbits/sec    0   12.7 KBytes       
[  7]  81.00-82.17  sec   127 KBytes  0.89 Mbits/sec    1   14.1 KBytes       
[  7]  82.17-83.17  sec   255 KBytes  2.09 Mbits/sec    0   14.1 KBytes       
[  7]  83.17-84.01  sec   509 KBytes  5.00 Mbits/sec    0   19.8 KBytes       
[  7]  84.01-85.17  sec   509 KBytes  3.59 Mbits/sec    1   18.4 KBytes       
[  7]  85.17-86.00  sec   382 KBytes  3.76 Mbits/sec    0   15.6 KBytes       
[  7]  86.00-87.00  sec   509 KBytes  4.16 Mbits/sec    0   15.6 KBytes       
[  7]  87.00-88.17  sec   127 KBytes  0.89 Mbits/sec    0   14.1 KBytes       
[  7]  88.17-89.05  sec   127 KBytes  1.19 Mbits/sec    0   9.90 KBytes       
[  7]  89.05-90.08  sec   255 KBytes  2.04 Mbits/sec    0   12.7 KBytes       
[  7]  90.08-91.01  sec   382 KBytes  3.37 Mbits/sec    1   14.1 KBytes       
[  7]  91.01-92.04  sec   891 KBytes  7.08 Mbits/sec    0   15.6 KBytes       
[  7]  92.04-93.15  sec  1.86 MBytes  14.0 Mbits/sec    0   18.4 KBytes       
[  7]  93.15-94.01  sec   636 KBytes  6.06 Mbits/sec    0   17.0 KBytes       
[  7]  94.01-95.17  sec   509 KBytes  3.60 Mbits/sec    0   18.4 KBytes       
[  7]  95.17-96.17  sec   255 KBytes  2.08 Mbits/sec    0   11.3 KBytes       
[  7]  96.17-97.17  sec   127 KBytes  1.05 Mbits/sec    0   9.90 KBytes       
[  7]  97.17-98.18  sec   127 KBytes  1.03 Mbits/sec    0   15.6 KBytes       
[  7]  98.18-99.09  sec   127 KBytes  1.14 Mbits/sec    0   11.3 KBytes       
[  7]  99.09-100.11 sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  7] 100.11-101.17 sec   127 KBytes  0.99 Mbits/sec    0   11.3 KBytes       
[  7] 101.17-102.16 sec   127 KBytes  1.05 Mbits/sec    0   12.7 KBytes       
[  7] 102.16-103.17 sec  0.00 Bytes  0.00 Mbits/sec    0   9.90 KBytes       
[  7] 103.17-104.00 sec   127 KBytes  1.26 Mbits/sec    0   8.48 KBytes       
[  7] 104.00-105.11 sec   382 KBytes  2.83 Mbits/sec    1   12.7 KBytes       
[  7] 105.11-106.02 sec  1.86 MBytes  17.2 Mbits/sec    0   22.6 KBytes       
[  7] 106.02-107.17 sec  2.11 MBytes  15.4 Mbits/sec    0   21.2 KBytes       
[  7] 107.17-108.10 sec   255 KBytes  2.23 Mbits/sec    0   4.24 KBytes       
[  7] 108.10-109.00 sec  1.49 MBytes  13.9 Mbits/sec    0   17.0 KBytes       
[  7] 109.00-110.00 sec   636 KBytes  5.19 Mbits/sec    0   15.6 KBytes       
