Connecting to host 10.0.0.1, port 1111
[  7] local 10.0.0.3 port 34232 connected to 10.0.0.1 port 1111
[  7]  67.01-68.01  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  68.01-69.40  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  69.40-70.01  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  70.01-71.01  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  71.01-72.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  72.00-73.01  sec  1.25 MBytes  10.4 Mbits/sec    0    652 KBytes       
[  7]  73.01-74.01  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  74.01-75.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  75.00-76.01  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  76.01-77.01  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  77.01-78.01  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  78.01-79.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  79.00-80.01  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  80.01-81.00  sec  1.25 MBytes  10.5 Mbits/sec    1    652 KBytes       
[  7]  81.00-82.02  sec  1.25 MBytes  10.3 Mbits/sec    8    652 KBytes       
[  7]  82.02-83.00  sec  1.25 MBytes  10.6 Mbits/sec    0    652 KBytes       
[  7]  83.00-84.01  sec  1.25 MBytes  10.4 Mbits/sec    0    652 KBytes       
[  7]  84.01-85.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  85.00-86.00  sec  2.50 MBytes  21.0 Mbits/sec    0    652 KBytes       
[  7]  86.00-87.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  87.00-88.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  88.00-89.47  sec  1.25 MBytes  7.15 Mbits/sec    0    652 KBytes       
[  7]  89.47-90.00  sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7]  90.00-91.00  sec  2.50 MBytes  20.9 Mbits/sec    0    652 KBytes       
[  7]  91.00-92.01  sec  1.25 MBytes  10.4 Mbits/sec    0    652 KBytes       
[  7]  92.01-93.00  sec  1.25 MBytes  10.6 Mbits/sec    0    652 KBytes       
[  7]  93.00-94.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  94.00-95.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  95.00-96.00  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  96.00-97.04  sec  1.25 MBytes  10.1 Mbits/sec    0    652 KBytes       
[  7]  97.04-98.01  sec  1.25 MBytes  10.8 Mbits/sec    0    652 KBytes       
[  7]  98.01-99.01  sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7]  99.01-100.12 sec  1.25 MBytes  9.46 Mbits/sec    0    652 KBytes       
[  7] 100.12-101.01 sec  1.25 MBytes  11.8 Mbits/sec    0    652 KBytes       
[  7] 101.01-102.00 sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7] 102.00-103.01 sec  1.25 MBytes  10.4 Mbits/sec    0    652 KBytes       
[  7] 103.01-104.01 sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7] 104.01-105.00 sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7] 105.00-106.06 sec  1.25 MBytes  9.93 Mbits/sec    0    652 KBytes       
[  7] 106.06-107.02 sec  1.25 MBytes  10.9 Mbits/sec    0    652 KBytes       
[  7] 107.02-108.01 sec  1.25 MBytes  10.6 Mbits/sec    0    652 KBytes       
[  7] 108.01-109.13 sec  1.25 MBytes  9.31 Mbits/sec    0    652 KBytes       
[  7] 109.13-110.00 sec  1.25 MBytes  12.0 Mbits/sec    0    652 KBytes       
[  7] 110.00-111.17 sec  2.50 MBytes  17.9 Mbits/sec    0    652 KBytes       
[  7] 111.17-112.00 sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7] 112.00-113.02 sec  1.25 MBytes  10.3 Mbits/sec    0    652 KBytes       
[  7] 113.02-114.00 sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7] 114.00-115.00 sec  2.50 MBytes  21.0 Mbits/sec    0    652 KBytes       
[  7] 115.00-116.00 sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7] 116.00-117.11 sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7] 117.11-118.14 sec  1.25 MBytes  10.2 Mbits/sec    0    652 KBytes       
[  7] 118.14-119.00 sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7] 119.00-120.00 sec  1.25 MBytes  10.5 Mbits/sec    0    652 KBytes       
[  7] 120.00-121.21 sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7] 121.21-122.23 sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7] 122.23-123.05 sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7] 123.05-124.08 sec  1.25 MBytes  10.2 Mbits/sec    0    652 KBytes       
[  7] 124.08-125.06 sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7] 125.06-126.14 sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
[  7] 126.14-127.15 sec  0.00 Bytes  0.00 Mbits/sec    0    652 KBytes       
