Connecting to host 10.0.0.2, port 2222
[  7] local 10.0.0.4 port 33958 connected to 10.0.0.2 port 2222
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.00   sec   327 KBytes  2.67 Mbits/sec    0   32.5 KBytes       
[  7]   1.00-2.00   sec   127 KBytes  1.04 Mbits/sec    0   35.4 KBytes       
[  7]   2.00-3.00   sec   127 KBytes  1.04 Mbits/sec    1   35.4 KBytes       
[  7]   3.00-4.00   sec  0.00 Bytes  0.00 Mbits/sec    0   41.0 KBytes       
[  7]   4.00-5.00   sec   127 KBytes  1.04 Mbits/sec    0   41.0 KBytes       
[  7]   5.00-6.00   sec   127 KBytes  1.05 Mbits/sec    0   41.0 KBytes       
[  7]   6.00-7.01   sec   127 KBytes  1.04 Mbits/sec    0   41.0 KBytes       
[  7]   7.01-8.00   sec  1.74 MBytes  14.6 Mbits/sec    0    229 KBytes       
[  7]   8.00-9.00   sec  0.00 Bytes  0.00 Mbits/sec    0    229 KBytes       
[  7]   9.00-10.00  sec  0.00 Bytes  0.00 Mbits/sec    0    229 KBytes       
[  7]  10.00-11.03  sec  0.00 Bytes  0.00 Mbits/sec    0   14.1 KBytes       
[  7]  11.03-12.00  sec   509 KBytes  4.27 Mbits/sec    0   15.6 KBytes       
[  7]  12.00-13.00  sec  0.00 Bytes  0.00 Mbits/sec    0   18.4 KBytes       
[  7]  13.00-14.00  sec  0.00 Bytes  0.00 Mbits/sec    0   19.8 KBytes       
[  7]  14.00-15.00  sec  0.00 Bytes  0.00 Mbits/sec    0   24.0 KBytes       
[  7]  15.00-16.00  sec   509 KBytes  4.16 Mbits/sec    0   26.9 KBytes       
[  7]  16.00-17.00  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  17.00-18.00  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  18.00-19.00  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  19.00-20.00  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  20.00-21.00  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  21.00-22.08  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  22.08-23.00  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  23.00-24.01  sec   509 KBytes  4.15 Mbits/sec    0   26.9 KBytes       
[  7]  24.01-25.36  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  25.36-26.00  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  26.00-27.00  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
[  7]  27.00-28.22  sec  0.00 Bytes  0.00 Mbits/sec    0   26.9 KBytes       
