Connecting to host 10.0.0.1, port 1111
[  7] local 10.0.0.3 port 53830 connected to 10.0.0.1 port 1111
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.00   sec  19.4 MBytes   163 Mbits/sec    0    687 KBytes       
[  7]   1.00-2.01   sec  18.8 MBytes   156 Mbits/sec    0    814 KBytes       
[  7]   2.01-3.00   sec  12.5 MBytes   106 Mbits/sec    0    814 KBytes       
[  7]   3.00-4.00   sec  16.2 MBytes   136 Mbits/sec    0    942 KBytes       
[  7]   4.00-5.00   sec  18.8 MBytes   157 Mbits/sec    0    942 KBytes       
[  7]   5.00-6.00   sec  13.8 MBytes   115 Mbits/sec    0   1.04 MBytes       
[  7]   6.00-7.00   sec  17.5 MBytes   147 Mbits/sec    0   1.04 MBytes       
[  7]   7.00-8.00   sec  20.0 MBytes   167 Mbits/sec    0   1.04 MBytes       
[  7]   8.00-9.00   sec  18.8 MBytes   158 Mbits/sec    0   1.04 MBytes       
[  7]   9.00-10.00  sec  18.8 MBytes   157 Mbits/sec    0   1.04 MBytes       
[  7]  10.00-11.00  sec  17.5 MBytes   147 Mbits/sec    0   1.04 MBytes       
[  7]  11.00-12.00  sec  16.2 MBytes   136 Mbits/sec    0   1.04 MBytes       
[  7]  12.00-13.00  sec  20.0 MBytes   168 Mbits/sec    0   1.04 MBytes       
[  7]  13.00-14.00  sec  15.0 MBytes   126 Mbits/sec    0   1.04 MBytes       
[  7]  14.00-15.00  sec  18.8 MBytes   157 Mbits/sec    0   1.04 MBytes       
[  7]  15.00-16.00  sec  18.8 MBytes   157 Mbits/sec    0   1.29 MBytes       
[  7]  16.00-17.00  sec  17.5 MBytes   147 Mbits/sec    0   1.29 MBytes       
[  7]  17.00-18.00  sec  20.0 MBytes   168 Mbits/sec    0   1.29 MBytes       
[  7]  18.00-19.00  sec  17.5 MBytes   146 Mbits/sec    0   1.29 MBytes       
[  7]  19.00-20.04  sec  16.2 MBytes   132 Mbits/sec    0   1.29 MBytes       
[  7]  20.04-21.00  sec  16.2 MBytes   142 Mbits/sec    0   1.29 MBytes       
[  7]  21.00-22.01  sec  18.8 MBytes   156 Mbits/sec    0   1.29 MBytes       
[  7]  22.01-23.00  sec  22.5 MBytes   191 Mbits/sec    0   1.29 MBytes       
[  7]  23.00-24.00  sec  21.2 MBytes   178 Mbits/sec    0   1.29 MBytes       
[  7]  24.00-25.02  sec  20.0 MBytes   164 Mbits/sec    0   1.54 MBytes       
[  7]  25.02-26.00  sec  21.2 MBytes   182 Mbits/sec    0   1.54 MBytes       
[  7]  26.00-27.00  sec  20.0 MBytes   168 Mbits/sec    0   1.54 MBytes       
[  7]  27.00-28.06  sec  18.8 MBytes   149 Mbits/sec    0   1.54 MBytes       
[  7]  28.06-29.00  sec  15.0 MBytes   133 Mbits/sec    0   1.54 MBytes       
[  7]  29.00-30.04  sec  18.8 MBytes   152 Mbits/sec    0   1.54 MBytes       
[  7]  30.04-31.02  sec  17.5 MBytes   149 Mbits/sec    0   1.54 MBytes       
[  7]  31.02-32.03  sec  13.8 MBytes   115 Mbits/sec    0   1.54 MBytes       
[  7]  32.03-33.00  sec  18.8 MBytes   162 Mbits/sec    0   1.54 MBytes       
[  7]  33.00-34.00  sec  22.5 MBytes   189 Mbits/sec    0   1.54 MBytes       
[  7]  34.00-35.00  sec  17.5 MBytes   147 Mbits/sec    0   1.54 MBytes       
[  7]  35.00-36.00  sec  17.5 MBytes   147 Mbits/sec    0   1.54 MBytes       
[  7]  36.00-37.00  sec  17.5 MBytes   147 Mbits/sec    0   1.54 MBytes       
[  7]  37.00-38.00  sec  17.5 MBytes   147 Mbits/sec    0   1.54 MBytes       
[  7]  38.00-39.01  sec  18.8 MBytes   156 Mbits/sec    0   1.54 MBytes       
[  7]  39.01-40.03  sec  17.5 MBytes   143 Mbits/sec    0   1.54 MBytes       
[  7]  40.03-41.00  sec  15.0 MBytes   130 Mbits/sec    0   1.54 MBytes       
[  7]  41.00-42.00  sec  18.8 MBytes   158 Mbits/sec    0   1.54 MBytes       
[  7]  42.00-43.00  sec  16.2 MBytes   136 Mbits/sec    0   1.54 MBytes       
[  7]  43.00-44.00  sec  22.5 MBytes   189 Mbits/sec    0   1.54 MBytes       
[  7]  44.00-45.00  sec  22.5 MBytes   189 Mbits/sec    0   1.54 MBytes       
[  7]  45.00-46.00  sec  23.8 MBytes   199 Mbits/sec    0   1.54 MBytes       
[  7]  46.00-47.00  sec  22.5 MBytes   189 Mbits/sec    0   1.54 MBytes       
[  7]  47.00-48.00  sec  22.5 MBytes   188 Mbits/sec    0   1.54 MBytes       
[  7]  48.00-49.01  sec  21.2 MBytes   177 Mbits/sec    0   1.54 MBytes       
[  7]  49.01-50.00  sec  22.5 MBytes   191 Mbits/sec    0   1.54 MBytes       
[  7]  50.00-51.03  sec  22.5 MBytes   183 Mbits/sec    0   1.67 MBytes       
[  7]  51.03-52.00  sec  15.0 MBytes   130 Mbits/sec    0   1.67 MBytes       
[  7]  52.00-53.00  sec  18.8 MBytes   157 Mbits/sec    0   1.67 MBytes       
[  7]  53.00-54.00  sec  17.5 MBytes   147 Mbits/sec    0   1.67 MBytes       
[  7]  54.00-55.00  sec  17.5 MBytes   147 Mbits/sec    0   1.67 MBytes       
[  7]  55.00-56.01  sec  17.5 MBytes   145 Mbits/sec    0   1.67 MBytes       
[  7]  56.01-57.00  sec  16.2 MBytes   137 Mbits/sec    0   1.67 MBytes       
[  7]  57.00-58.00  sec  21.2 MBytes   179 Mbits/sec    0   1.67 MBytes       
[  7]  58.00-59.00  sec  22.5 MBytes   189 Mbits/sec    0   1.67 MBytes       
[  7]  59.00-60.00  sec  22.5 MBytes   189 Mbits/sec    0   1.67 MBytes       
[  7]  60.00-61.00  sec  22.5 MBytes   189 Mbits/sec    0   1.67 MBytes       
[  7]  61.00-62.00  sec  22.5 MBytes   189 Mbits/sec    0   1.67 MBytes       
[  7]  62.00-63.00  sec  22.5 MBytes   189 Mbits/sec    0   1.67 MBytes       
[  7]  63.00-64.00  sec  22.5 MBytes   188 Mbits/sec    0   1.67 MBytes       
[  7]  64.00-65.00  sec  22.5 MBytes   189 Mbits/sec    0   1.67 MBytes       
[  7]  65.00-66.00  sec  22.5 MBytes   189 Mbits/sec    0   1.67 MBytes       
[  7]  66.00-67.00  sec  21.2 MBytes   178 Mbits/sec    0   1.67 MBytes       
[  7]  67.00-68.00  sec  22.5 MBytes   189 Mbits/sec    0   1.67 MBytes       
[  7]  68.00-69.00  sec  22.5 MBytes   189 Mbits/sec    0   1.67 MBytes       
[  7]  69.00-70.00  sec  22.5 MBytes   189 Mbits/sec    0   1.67 MBytes       
[  7]  70.00-71.00  sec  22.5 MBytes   189 Mbits/sec    0   1.67 MBytes       
[  7]  71.00-72.00  sec  22.5 MBytes   189 Mbits/sec    0   1.67 MBytes       
[  7]  72.00-73.00  sec  18.8 MBytes   157 Mbits/sec    0   1.67 MBytes       
[  7]  73.00-74.00  sec  17.5 MBytes   146 Mbits/sec    0   1.67 MBytes       
[  7]  74.00-75.02  sec  17.5 MBytes   144 Mbits/sec    0   1.67 MBytes       
[  7]  75.02-76.01  sec  12.5 MBytes   106 Mbits/sec    0   1.67 MBytes       
[  7]  76.01-77.00  sec  6.25 MBytes  53.0 Mbits/sec    0   1.67 MBytes       
[  7]  77.00-78.01  sec  8.75 MBytes  72.7 Mbits/sec    0   1.67 MBytes       
[  7]  78.01-79.00  sec  10.0 MBytes  84.6 Mbits/sec    0   1.67 MBytes       
[  7]  79.00-80.00  sec  12.5 MBytes   105 Mbits/sec    0   1.67 MBytes       
[  7]  80.00-81.00  sec  3.75 MBytes  31.4 Mbits/sec    0   1.67 MBytes       
[  7]  81.00-82.01  sec  11.2 MBytes  93.4 Mbits/sec    0   1.67 MBytes       
