Connecting to host 10.0.0.2, port 2222
[  7] local 10.0.0.4 port 58756 connected to 10.0.0.2 port 2222
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.00   sec   484 KBytes  3.96 Mbits/sec    0   31.1 KBytes       
[  7]   1.00-2.00   sec   397 KBytes  3.26 Mbits/sec    0   45.2 KBytes       
[  7]   2.00-3.00   sec   255 KBytes  2.08 Mbits/sec    0   45.2 KBytes       
[  7]   3.00-4.00   sec   255 KBytes  2.08 Mbits/sec    0   45.2 KBytes       
[  7]   4.00-5.00   sec   382 KBytes  3.13 Mbits/sec    0   45.2 KBytes       
[  7]   5.00-6.00   sec   255 KBytes  2.09 Mbits/sec    0   45.2 KBytes       
[  7]   6.00-7.00   sec   255 KBytes  2.08 Mbits/sec    0   45.2 KBytes       
[  7]   7.00-8.00   sec   255 KBytes  2.08 Mbits/sec    1   45.2 KBytes       
[  7]   8.00-9.00   sec   509 KBytes  4.17 Mbits/sec    0   53.7 KBytes       
[  7]   9.00-10.00  sec   382 KBytes  3.13 Mbits/sec    0   53.7 KBytes       
[  7]  10.00-11.00  sec   509 KBytes  4.17 Mbits/sec    0   53.7 KBytes       
[  7]  11.00-12.00  sec   509 KBytes  4.17 Mbits/sec    0   53.7 KBytes       
[  7]  12.00-13.00  sec   636 KBytes  5.21 Mbits/sec    0   53.7 KBytes       
[  7]  13.00-14.00  sec   255 KBytes  2.09 Mbits/sec    0   53.7 KBytes       
[  7]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0   53.7 KBytes       
[  7]  15.00-16.06  sec   382 KBytes  2.95 Mbits/sec    0   53.7 KBytes       
[  7]  16.06-17.04  sec   255 KBytes  2.13 Mbits/sec    0   53.7 KBytes       
[  7]  17.04-18.00  sec   127 KBytes  1.08 Mbits/sec    0   53.7 KBytes       
[  7]  18.00-19.11  sec   255 KBytes  1.87 Mbits/sec    0   53.7 KBytes       
[  7]  19.11-20.01  sec  13.5 MBytes   127 Mbits/sec    0    901 KBytes       
[  7]  20.01-21.00  sec  22.5 MBytes   190 Mbits/sec    0   1.00 MBytes       
[  7]  21.00-22.00  sec  18.8 MBytes   157 Mbits/sec    0   1.00 MBytes       
[  7]  22.00-23.04  sec  12.5 MBytes   101 Mbits/sec    0   1.00 MBytes       
[  7]  23.04-24.00  sec  11.2 MBytes  98.1 Mbits/sec    0   1.00 MBytes       
[  7]  24.00-25.00  sec  10.0 MBytes  83.9 Mbits/sec    0   1.00 MBytes       
[  7]  25.00-26.00  sec  11.2 MBytes  94.3 Mbits/sec    0   1.13 MBytes       
[  7]  26.00-27.00  sec  11.2 MBytes  94.4 Mbits/sec    0   1.13 MBytes       
[  7]  27.00-28.00  sec  13.8 MBytes   115 Mbits/sec    0   1.13 MBytes       
[  7]  28.00-29.00  sec  11.2 MBytes  94.2 Mbits/sec    0   1.13 MBytes       
[  7]  29.00-30.02  sec  12.5 MBytes   104 Mbits/sec    0   1.38 MBytes       
[  7]  30.02-31.00  sec  13.8 MBytes   117 Mbits/sec    0   1.75 MBytes       
[  7]  31.00-32.00  sec  17.5 MBytes   147 Mbits/sec    0   1.75 MBytes       
[  7]  32.00-33.00  sec  16.2 MBytes   137 Mbits/sec    0   1.75 MBytes       
[  7]  33.00-34.01  sec  20.0 MBytes   166 Mbits/sec    0   1.75 MBytes       
[  7]  34.01-35.00  sec  20.0 MBytes   169 Mbits/sec    0   1.75 MBytes       
[  7]  35.00-36.00  sec  22.5 MBytes   189 Mbits/sec    0   1.75 MBytes       
[  7]  36.00-37.01  sec  15.0 MBytes   125 Mbits/sec    0   1.75 MBytes       
[  7]  37.01-38.00  sec  15.0 MBytes   127 Mbits/sec    0   1.75 MBytes       
[  7]  38.00-39.00  sec  22.5 MBytes   189 Mbits/sec    0   1.75 MBytes       
[  7]  39.00-40.00  sec  22.5 MBytes   189 Mbits/sec    0   1.75 MBytes       
[  7]  40.00-41.00  sec  15.0 MBytes   126 Mbits/sec    0   1.75 MBytes       
[  7]  41.00-42.00  sec  16.2 MBytes   136 Mbits/sec    0   1.75 MBytes       
[  7]  42.00-43.00  sec  18.8 MBytes   157 Mbits/sec    0   1.75 MBytes       
[  7]  43.00-44.00  sec  18.8 MBytes   157 Mbits/sec    0   1.75 MBytes       
[  7]  44.00-45.00  sec  17.5 MBytes   147 Mbits/sec    0   1.75 MBytes       
[  7]  45.00-46.00  sec  17.5 MBytes   147 Mbits/sec    0   1.75 MBytes       
[  7]  46.00-47.00  sec  18.8 MBytes   157 Mbits/sec    0   2.13 MBytes       
[  7]  47.00-48.00  sec  16.2 MBytes   136 Mbits/sec    0   2.13 MBytes       
[  7]  48.00-49.00  sec  13.8 MBytes   115 Mbits/sec    0   2.13 MBytes       
[  7]  49.00-50.01  sec  11.2 MBytes  94.0 Mbits/sec    0   2.13 MBytes       
[  7]  50.01-51.01  sec  13.8 MBytes   115 Mbits/sec    0   2.13 MBytes       
[  7]  51.01-52.01  sec  11.2 MBytes  94.9 Mbits/sec    0   2.13 MBytes       
[  7]  52.01-53.00  sec  11.2 MBytes  94.9 Mbits/sec    0   2.13 MBytes       
[  7]  53.00-54.00  sec  12.5 MBytes   105 Mbits/sec    0   2.13 MBytes       
[  7]  54.00-55.00  sec  15.0 MBytes   126 Mbits/sec    0   2.13 MBytes       
[  7]  55.00-56.01  sec  17.5 MBytes   146 Mbits/sec    0   2.13 MBytes       
[  7]  56.01-57.00  sec  13.8 MBytes   116 Mbits/sec    0   2.13 MBytes       
[  7]  57.00-58.00  sec  17.5 MBytes   147 Mbits/sec    0   2.13 MBytes       
[  7]  58.00-59.00  sec  18.8 MBytes   157 Mbits/sec    0   2.13 MBytes       
[  7]  59.00-60.01  sec  17.5 MBytes   146 Mbits/sec    0   2.25 MBytes       
[  7]  60.01-61.01  sec  16.2 MBytes   136 Mbits/sec    0   2.25 MBytes       
[  7]  61.01-62.00  sec  15.0 MBytes   127 Mbits/sec    0   2.25 MBytes       
[  7]  62.00-63.00  sec  17.5 MBytes   147 Mbits/sec    0   2.25 MBytes       
[  7]  63.00-64.00  sec  15.0 MBytes   126 Mbits/sec    0   2.25 MBytes       
[  7]  64.00-65.00  sec  22.5 MBytes   189 Mbits/sec    0   2.25 MBytes       
[  7]  65.00-66.00  sec  22.5 MBytes   189 Mbits/sec    0   2.25 MBytes       
[  7]  66.00-67.00  sec  17.5 MBytes   146 Mbits/sec    0   2.25 MBytes       
[  7]  67.00-68.00  sec  16.2 MBytes   136 Mbits/sec    0   2.25 MBytes       
[  7]  68.00-69.00  sec  15.0 MBytes   126 Mbits/sec    0   2.25 MBytes       
[  7]  69.00-70.00  sec  18.8 MBytes   157 Mbits/sec    0   2.25 MBytes       
