Connecting to host 10.0.0.1, port 1111
[  7] local 10.0.0.3 port 44492 connected to 10.0.0.1 port 1111
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.06   sec   684 KBytes  5.29 Mbits/sec    0   25.5 KBytes       
[  7]   1.06-2.06   sec  63.6 KBytes  0.52 Mbits/sec    0   26.9 KBytes       
[  7]   2.06-3.06   sec  63.6 KBytes  0.52 Mbits/sec    0   28.3 KBytes       
[  7]   3.06-4.06   sec  63.6 KBytes  0.52 Mbits/sec    0   28.3 KBytes       
[  7]   4.06-5.06   sec   255 KBytes  2.08 Mbits/sec    0   28.3 KBytes       
[  7]   5.06-6.06   sec   382 KBytes  3.14 Mbits/sec    0   46.7 KBytes       
[  7]   6.06-7.06   sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]   7.06-8.05   sec   127 KBytes  1.05 Mbits/sec    0   46.7 KBytes       
[  7]   8.05-9.06   sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]   9.06-10.06  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  10.06-11.06  sec   127 KBytes  1.04 Mbits/sec    0   46.7 KBytes       
[  7]  11.06-12.06  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  12.06-13.06  sec   127 KBytes  1.04 Mbits/sec    0   46.7 KBytes       
[  7]  13.06-14.06  sec   127 KBytes  1.04 Mbits/sec    0   46.7 KBytes       
[  7]  14.06-15.00  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  15.00-16.06  sec   127 KBytes  0.99 Mbits/sec    0   46.7 KBytes       
[  7]  16.06-17.05  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  17.05-18.06  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  18.06-19.06  sec   127 KBytes  1.04 Mbits/sec    0   46.7 KBytes       
[  7]  19.06-20.91  sec  0.00 Bytes  0.00 Mbits/sec    0   46.7 KBytes       
[  7]  20.91-21.06  sec   127 KBytes  6.74 Mbits/sec    2   32.5 KBytes       
[  7]  21.06-22.06  sec   127 KBytes  1.04 Mbits/sec    0   32.5 KBytes       
[  7]  22.06-23.00  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  23.00-24.02  sec   255 KBytes  2.05 Mbits/sec    0   32.5 KBytes       
[  7]  24.02-25.04  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  25.04-26.06  sec   127 KBytes  1.02 Mbits/sec    0   32.5 KBytes       
[  7]  26.06-27.06  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  27.06-28.06  sec   127 KBytes  1.04 Mbits/sec    0   32.5 KBytes       
[  7]  28.06-29.06  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  29.06-30.06  sec   127 KBytes  1.04 Mbits/sec    0   32.5 KBytes       
[  7]  30.06-31.02  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  31.02-32.01  sec   127 KBytes  1.05 Mbits/sec    0   32.5 KBytes       
[  7]  32.01-33.03  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  33.03-34.06  sec   127 KBytes  1.02 Mbits/sec    0   32.5 KBytes       
[  7]  34.06-35.06  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  35.06-36.06  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  36.06-37.06  sec   127 KBytes  1.04 Mbits/sec    0   32.5 KBytes       
[  7]  37.06-38.06  sec   127 KBytes  1.05 Mbits/sec    0   32.5 KBytes       
[  7]  38.06-39.06  sec   127 KBytes  1.04 Mbits/sec    0   32.5 KBytes       
[  7]  39.06-40.00  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  40.00-41.06  sec   127 KBytes  0.99 Mbits/sec    0   32.5 KBytes       
[  7]  41.06-42.04  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  42.04-43.06  sec   127 KBytes  1.03 Mbits/sec    0   32.5 KBytes       
[  7]  43.06-44.06  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  44.06-45.06  sec   127 KBytes  1.05 Mbits/sec    0   32.5 KBytes       
[  7]  45.06-46.05  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  46.05-47.06  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  47.06-48.06  sec   127 KBytes  1.04 Mbits/sec    0   32.5 KBytes       
[  7]  48.06-49.00  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  49.00-50.06  sec   127 KBytes  0.99 Mbits/sec    0   32.5 KBytes       
[  7]  50.06-51.05  sec   127 KBytes  1.05 Mbits/sec    0   32.5 KBytes       
[  7]  51.05-52.06  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
[  7]  52.06-53.06  sec   127 KBytes  1.05 Mbits/sec    0   32.5 KBytes       
[  7]  53.06-54.06  sec   127 KBytes  1.04 Mbits/sec    0   32.5 KBytes       
[  7]  54.06-55.06  sec   127 KBytes  1.04 Mbits/sec    0   32.5 KBytes       
[  7]  55.06-56.06  sec  0.00 Bytes  0.00 Mbits/sec    2   32.5 KBytes       
[  7]  56.06-57.05  sec   127 KBytes  1.05 Mbits/sec    0   32.5 KBytes       
[  7]  57.05-58.02  sec   127 KBytes  1.08 Mbits/sec    0   32.5 KBytes       
[  7]  58.02-59.04  sec  0.00 Bytes  0.00 Mbits/sec    0   32.5 KBytes       
